,0,1,btc
651,19349778,193497,62069.46576184488
652,19349779,193497,62069.46576184488
653,19349781,193497,62069.46576184488
654,19349782,193497,62069.46576184488
655,19349784,193497,62069.46576184488
656,19349785,193497,62069.46576184488
657,19349787,193497,62069.46576184488
658,19349789,193497,62069.46576184488
659,19349796,193497,62069.46576184488
660,19349803,193498,61797.38575615974
661,19349804,193498,61797.38575615974
662,19349805,193498,61797.38575615974
663,19349807,193498,61797.38575615974
664,19349810,193498,61797.38575615974
665,19349815,193498,61797.38575615974
666,19349817,193498,61797.38575615974
667,19349819,193498,61797.38575615974
668,19349828,193498,61797.38575615974
669,19349830,193498,61797.38575615974
670,19349833,193498,61797.38575615974
671,19349840,193498,61797.38575615974
672,19349842,193498,61797.38575615974
673,19349844,193498,61797.38575615974
674,19349846,193498,61797.38575615974
675,19349853,193498,61797.38575615974
676,19349854,193498,61797.38575615974
677,19349855,193498,61797.38575615974
678,19349857,193498,61797.38575615974
679,19349864,193498,61797.38575615974
680,19349871,193498,61797.38575615974
681,19349872,193498,61797.38575615974
682,19349879,193498,61797.38575615974
683,19349888,193498,61797.38575615974
684,19349892,193498,61797.38575615974
685,19349897,193498,61797.38575615974
686,19349899,193498,61797.38575615974
687,19349900,193499,61957.087643501996
688,19349902,193499,61957.087643501996
689,19349905,193499,61957.087643501996
690,19349906,193499,61957.087643501996
691,19349907,193499,61957.087643501996
692,19349910,193499,61957.087643501996
693,19349911,193499,61957.087643501996
694,19349913,193499,61957.087643501996
695,19349915,193499,61957.087643501996
696,19349919,193499,61957.087643501996
697,19349922,193499,61957.087643501996
698,19349923,193499,61957.087643501996
699,19349925,193499,61957.087643501996
700,19349927,193499,61957.087643501996
701,19349937,193499,61957.087643501996
702,19349943,193499,61957.087643501996
703,19349944,193499,61957.087643501996
704,19349951,193499,61957.087643501996
705,19349974,193499,61957.087643501996
706,19349979,193499,61957.087643501996
707,19349983,193499,61957.087643501996
708,19349988,193499,61957.087643501996
709,19349989,193499,61957.087643501996
710,19350003,193500,61891.40658451771
711,19350004,193500,61891.40658451771
712,19350012,193500,61891.40658451771
713,19350013,193500,61891.40658451771
714,19350019,193500,61891.40658451771
715,19350025,193500,61891.40658451771
716,19350029,193500,61891.40658451771
717,19350030,193500,61891.40658451771
718,19350033,193500,61891.40658451771
719,19350035,193500,61891.40658451771
720,19350036,193500,61891.40658451771
721,19350058,193500,61891.40658451771
722,19350060,193500,61891.40658451771
723,19350064,193500,61891.40658451771
724,19350069,193500,61891.40658451771
725,19350076,193500,61891.40658451771
726,19350087,193500,61891.40658451771
727,19350090,193500,61891.40658451771
728,19350094,193500,61891.40658451771
729,19350097,193500,61891.40658451771
730,19350104,193501,61924.213061868904
731,19350109,193501,61924.213061868904
732,19350119,193501,61924.213061868904
733,19350120,193501,61924.213061868904
734,19350132,193501,61924.213061868904
735,19350150,193501,61924.213061868904
736,19350165,193501,61924.213061868904
737,19350182,193501,61924.213061868904
738,19350184,193501,61924.213061868904
739,19355108,193551,62298.37823597159
740,19355114,193551,62298.37823597159
741,19355117,193551,62298.37823597159
742,19355121,193551,62298.37823597159
743,19355123,193551,62298.37823597159
744,19355125,193551,62298.37823597159
745,19355126,193551,62298.37823597159
746,19355128,193551,62298.37823597159
747,19355151,193551,62298.37823597159
748,19355154,193551,62298.37823597159
749,19355155,193551,62298.37823597159
750,19355163,193551,62298.37823597159
751,19355167,193551,62298.37823597159
752,19355178,193551,62298.37823597159
753,19355182,193551,62298.37823597159
754,19355197,193551,62298.37823597159
755,19355199,193551,62298.37823597159
756,19355204,193552,62309.903761995905
757,19355208,193552,62309.903761995905
758,19355209,193552,62309.903761995905
759,19360699,193606,65310.31640958613
760,19360700,193607,65246.97080618896
761,19360701,193607,65246.97080618896
762,19360702,193607,65246.97080618896
763,19360703,193607,65246.97080618896
764,19360707,193607,65246.97080618896
765,19360709,193607,65246.97080618896
766,19360712,193607,65246.97080618896
767,19360717,193607,65246.97080618896
768,19360726,193607,65246.97080618896
769,19360729,193607,65246.97080618896
770,19360733,193607,65246.97080618896
771,19360736,193607,65246.97080618896
772,19360739,193607,65246.97080618896
773,19360742,193607,65246.97080618896
774,19360743,193607,65246.97080618896
775,19360744,193607,65246.97080618896
776,19360745,193607,65246.97080618896
777,19360746,193607,65246.97080618896
778,19360748,193607,65246.97080618896
779,19360749,193607,65246.97080618896
780,19360751,193607,65246.97080618896
781,19360752,193607,65246.97080618896
782,19360754,193607,65246.97080618896
783,19360757,193607,65246.97080618896
784,19360758,193607,65246.97080618896
785,19360760,193607,65246.97080618896
786,19360763,193607,65246.97080618896
787,19360764,193607,65246.97080618896
788,19360765,193607,65246.97080618896
789,19360767,193607,65246.97080618896
790,19360768,193607,65246.97080618896
791,19360769,193607,65246.97080618896
792,19360773,193607,65246.97080618896
793,19360776,193607,65246.97080618896
794,19360778,193607,65246.97080618896
795,19360780,193607,65246.97080618896
796,19360783,193607,65246.97080618896
797,19360785,193607,65246.97080618896
798,19360786,193607,65246.97080618896
799,19360787,193607,65246.97080618896
800,19360790,193607,65246.97080618896
801,19360791,193607,65246.97080618896
802,19360792,193607,65246.97080618896
803,19360793,193607,65246.97080618896
804,19360795,193607,65246.97080618896
805,19360796,193607,65246.97080618896
806,19360797,193607,65246.97080618896
807,19360798,193607,65246.97080618896
808,19360799,193607,65246.97080618896
809,19360800,193608,64941.64506633092
810,19360888,193608,64941.64506633092
811,19360889,193608,64941.64506633092
812,19360891,193608,64941.64506633092
813,19360892,193608,64941.64506633092
814,19360893,193608,64941.64506633092
815,19360894,193608,64941.64506633092
816,19360896,193608,64941.64506633092
817,19360904,193609,65177.010936923485
818,19360906,193609,65177.010936923485
819,19360907,193609,65177.010936923485
820,19360908,193609,65177.010936923485
